characters_count,and_or_count,blank_line,capital_start,end_dot,imperative_start,wrap_to_72,verb_direct_obj,changed_files_count,changes_methods_count,files_to_body_ratio,methods_to_body_ratio,methods_long,methods_complexity,methods_parameters,added_lines,label
78,1,1,1,0,1,0,1,1,1,0,0,-1,-1,1,2,neutral
88,0,1,1,0,0,0,1,1,1,0,0,1,-1,1,0,bad
58,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,neutral
54,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,1,good
76,0,1,1,1,1,0,1,1,1,0,0,1,-1,-1,12,neutral
54,1,1,1,1,1,1,1,4,5,0,0,-1,-1,-1,11,good
40,1,1,1,1,1,1,1,1,0,1,-1,-1,-1,-1,1,good
23,1,1,1,1,0,1,0,3,4,0,0,-1,-1,-1,14,neutral
87,1,1,1,1,1,0,1,2,4,0,0,-1,1,1,46,neutral
37,1,1,1,1,1,1,1,1,1,0,0,-1,1,-1,17,good
36,1,1,1,1,0,1,1,1,1,0,0,1,-1,1,1,good
45,1,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,1,good
50,1,1,1,1,1,1,1,4,6,0,0,0.8,-1,-1,30,good
29,1,1,1,1,1,1,1,1,5,0,0.2,1,1,1,40,good
67,0,1,1,1,1,1,1,2,3,0,0,0.05,1,0.05,62,good
23,1,1,1,1,1,1,1,1,1,0,0,-1,1,1,6,good
25,1,1,1,1,1,1,1,2,1,0,0,-1,-1,-1,16,good
49,1,1,1,1,0,1,1,2,2,0,0,-1,-1,-1,3,good
74,1,1,0,1,0,0,1,1,2,0,0,1,-1,1,3,bad
26,1,1,0,1,0,1,0,2,1,0,0,1,1,1,19,neutral
23,1,1,0,1,0,1,1,1,1,0,0,-1,-1,-1,7,good
85,0,1,0,1,0,0,1,2,8,0,0,1,1,0.9,49,bad
22,1,1,0,1,0,1,1,1,1,0,0,-1,-1,-1,1,good
108,1,1,0,1,0,0,1,1,1,0,0,-1,1,-1,13,bad
13,1,1,0,1,0,1,1,1,0,0,-1,-1,-1,-1,7,good
27,1,1,0,1,0,1,1,1,1,0,0,-1,-1,-1,1,neutral
60,1,1,0,1,0,1,1,1,2,0,0,1,1,1,4,good
39,1,1,0,1,0,1,0,3,5,0,0,-1,-1,-1,19,neutral
56,1,1,0,1,0,1,1,2,10,0,0,1,1,1,57,neutral
58,1,1,0,1,0,1,1,2,3,0,0,1,1,1,21,neutral
13,1,1,0,1,0,1,0,1,1,0,0,-1,-1,-1,3,neutral
16,1,1,0,1,0,1,1,1,0,0,-1,-1,-1,-1,1,neutral
16,1,1,0,1,0,1,1,1,0,0,-1,-1,-1,-1,10,neutral
30,1,1,0,1,0,1,0,2,10,0,0,0.42,0.78,0.78,119,neutral
16,1,1,0,1,0,1,0,1,2,0,0,-1,-1,-1,2,neutral
29,1,1,0,1,0,1,1,1,1,0,1,-1,-1,-1,1,good
96,1,1,1,0,0,0,1,23,100,0,0,0.99,1,0.95,818,bad
47,1,1,1,1,0,1,1,3,4,0,0.25,0.78,1,0.78,51,good
35,1,1,0,1,0,1,1,1,2,0,0,-1,-1,-1,5,neutral
116,1,1,1,0,0,0,1,13,14,0,0.57,0.5,1,1,128,bad
170,1,1,1,0,0,0,1,12,31,0,0.03,-1,-1,1,166,bad
170,1,1,1,0,0,0,1,1,0,0,-1,-1,-1,-1,3,bad
27,1,1,1,1,0,1,0,3,2,0,0,-1,-1,-1,4,neutral
15,1,1,1,1,0,1,1,1,0,0,-1,-1,-1,-1,6,neutral
15,1,1,1,1,0,1,1,1,0,0,-1,-1,-1,-1,40,neutral
18,1,1,0,1,1,1,0,1,2,0,0,-1,-1,-1,2,bad
20,1,1,0,1,0,1,0,4,0,0,-1,-1,-1,-1,14,bad
55,1,1,0,1,0,1,1,2,4,0,0,1,1,1,15,neutral
57,1,1,0,1,0,1,0,6,22,0,0,1,1,1,133,bad
57,1,1,0,1,0,1,1,21,5,0,0,1,1,1,31,bad
24,1,1,0,1,0,1,1,2,2,0,0,1,1,1,4,good
23,1,1,0,1,0,1,0,1,1,0,0,-1,-1,-1,1,bad
36,1,1,0,1,0,1,1,2,5,0,0,-1,-1,-1,15,neutral
16,1,1,0,1,0,1,1,2,1,0,0,-1,-1,-1,3,neutral
32,1,1,0,1,0,1,0,20,77,0,0,-1,-1,-1,232,bad
52,1,1,0,1,0,1,0,2,9,0,0,0.04,0.42,0.54,60,bad
125,0,1,1,0,0,0,1,4,4,0,0,0.11,1,1,146,bad
49,1,1,0,1,0,1,1,6,10,0,0.1,-1,-1,-1,228,bad
